channel_name,channel_url,country,subscribers,videos_found,average_views,last_video_date,score
Wandrio Wesley-Oficial,https://www.youtube.com/channel/UCHYVuEjynWEikG4Si4DbSJg,BR,3200,3,1390,2026-09-09T23:17:28Z,4
YneftGG,https://www.youtube.com/channel/UCHSInPX32tpcKYg_9uC8zjA,BR,5430,1,1371,2026-09-09T16:52:17Z,4
Lolla Lopes ,https://www.youtube.com/channel/UCZxTqYJcCK5hh6h6g_Mogyw,BR,4440,1,1338,2026-09-10T23:30:32Z,4
Vam Bora Aprender,https://www.youtube.com/channel/UCJxkcGQgRqXmINx3q9wKnGg,BR,3850,1,1262,2026-09-09T23:22:18Z,4
Ei Lima,https://www.youtube.com/channel/UCZA9JSpLCwlDsX5z8IWcrSA,BR,3980,1,1258,2026-09-11T18:00:06Z,4
 projeto cabelão,https://www.youtube.com/channel/UCLDhbwGU5G5bUUafjHweZpw,BR,2430,1,1193,2026-09-11T04:32:57Z,4
JL7 ⚡,https://www.youtube.com/channel/UCz1Q675WGTBXvfEQKPfbjkA,BR,5500,1,1118,2026-09-10T13:45:38Z,4
Resenha da Bola,https://www.youtube.com/channel/UCXw4r1Fzcw0FhoWxmNYV6CQ,BR,4600,1,997,2026-09-11T15:00:25Z,4
kayky do sítio ,https://www.youtube.com/channel/UCwyFT0pOECtSvvgKVMjL7Qw,BR,2790,1,964,2026-09-10T13:27:59Z,4
opaceenos,https://www.youtube.com/channel/UCj2WCZ6ENhL7vfqTsycvKmA,BR,4160,1,948,2026-09-10T14:59:19Z,4
Tairu Auto,https://www.youtube.com/channel/UCxvb3mGiKSCliTRwHbjMqcg,BR,2020,1,877,2026-09-11T15:20:51Z,4
PEGA A CHAVE - CARROS,https://www.youtube.com/channel/UCw3j88BqcvOD80dz1mfcR3Q,BR,3050,1,820,2026-09-11T14:48:49Z,4
Lado Vasco ®,https://www.youtube.com/channel/UCXMOxuXJdp-7lMNuI_H2nPQ,BR,2930,1,781,2026-09-11T11:25:00Z,4
Dez ou Dois,https://www.youtube.com/channel/UCpMoHUdtuPUtFcJrv1BqJuQ,BR,1750,1,777,2026-09-11T15:00:15Z,4
canal sonho alviverde ,https://www.youtube.com/channel/UCtQu1wAegM8JmQ05k7wmBAg,BR,1920,2,754,2026-09-11T02:25:15Z,4
Bola d'Ouro ,https://www.youtube.com/channel/UCYSDsh2mabvnAw4WscatZ_Q,BR,1330,1,736,2026-09-07T19:27:14Z,4
Forhred,https://www.youtube.com/channel/UCK0XaVbmaEs_KZgRGL0eaXQ,BR,1290,1,595,2026-09-11T16:00:11Z,4
